day_reported	model_fit	model_fit_low	model_fit_high	data_value	smoothed_value	variable	data_source	model_type
2020-02-27	1.37667730520669	1.18277574220932	1.60236664909191	10	8	cases	FOPH_online	before_lockdown
2020-02-28	11.0134184416535	9.46220593767457	12.8189331927353	10	12.2857142857143	cases	FOPH_online	before_lockdown
2020-02-29	16.9134640353964	14.5312448328574	19.6862188317006	13	16.8571428571429	cases	FOPH_online	before_lockdown
2020-03-01	23.2068460020556	19.9382196543857	27.0113235132636	11	24	cases	FOPH_online	before_lockdown
2020-03-02	33.0402553249605	28.3866178130237	38.4567995782058	31	31.4285714285714	cases	FOPH_online	before_lockdown
2020-03-03	43.2670010207816	37.1729518980073	50.3600946857457	33	40.4285714285714	cases	FOPH_online	before_lockdown
2020-03-04	55.6570967676418	47.8179335778911	64.7813945275729	60	45.5714285714286	cases	FOPH_online	before_lockdown
2020-03-05	62.7371514801333	53.9007802521105	73.0221372943313	62	53.7142857142857	cases	FOPH_online	before_lockdown
2020-03-06	73.947238108245	63.5319541529579	86.0699800083655	73	76.8571428571428	cases	FOPH_online	before_lockdown
2020-03-07	105.807484314457	90.904764186945	123.153322458778	49	102.285714285714	cases	FOPH_online	before_lockdown
2020-03-08	140.814421503998	120.981061631696	163.899217249973	68	141.571428571429	cases	FOPH_online	before_lockdown
2020-03-09	194.898172779975	167.447251504205	226.849335607155	193	183.714285714286	cases	FOPH_online	before_lockdown
2020-03-10	252.915287785114	217.29280064017	294.377644390314	211	235	cases	FOPH_online	before_lockdown
2020-03-11	323.519166723572	277.952299419191	376.556162536599	335	288	cases	FOPH_online	before_lockdown
2020-03-12	396.483063899526	340.639413756285	461.48159493847	357	325	cases	FOPH_online	before_lockdown
2020-03-13	447.420124192174	384.40211621803	520.769160954871	432	449.857142857143	cases	FOPH_online	before_lockdown
2020-03-14	619.308119156551	532.080116031022	720.83608257006	420	574.571428571429	cases	FOPH_online	before_lockdown
2020-03-15	790.999445934472	679.589147880842	920.674094663952	327	700.428571428571	cases	FOPH_online	before_lockdown
